roof,68
plough,137
Purgatory,67
gardening,67
contorted,67
fashion,72
Abject art,67
swan,67
happiness,67
mystery,67
Virgil,113
singer,67
"light, electric",96
Lake Geneva,72
art gallery,128
tent,66
"Napoleonic Wars, 1796-1815",78
factory,66
Plaster,108
Cowes - non-specific,65
amphitheatre,65
banality,65
convent,65
spring,67
"aircraft, military",119
"Campbell, Thomas, 'Poetical Works'",67
Cheshire,64
lawn,64
balcony,65
Cologne - non-specific,94
Ink wash and watercolour on paper,86
mouth,74
spade,64
leg/legs raised,64
Derbyshire,65
poverty,64
recoiling,64
putto,64
hotel,64
rug,64
tie,131
comforting,63
Hastings - non-specific,81
laundry,63
moonlight,63
hut,63
courtyard,85
queen,63
altar,68
wife,63
worship,64
aggression,62
bull,63
pipe,62
spirituality,86
Denbighshire,63
named groups,62
New Generation Sculpture,62
shock,65
palette,61
Shropshire,61
modernist,62
Margate - non-specific,83
Crucifixion,66
Relief print on paper,69
courtier,89
"Kirkstall, Kirkstall Abbey",78
cloth,61
husband,60
railing,60
museum,68
Namur - non-specific,110
"Italy, Campagna di Roma",69
Plymouth - non-specific,165
butterfly,62
plinth,60
Optical Art,59
"fruit, apple",228
school,59
Bass Rock,59
Drachenfels,59
St Paul's Cathedral,67
parasol,59
fan,60
reed,59
"fire, open",58
prejudice,58
money,92
Land Art,58
umbrella,57
energy,59
prison,104
underwear,57
"Homer, 'Odyssey'",67
"Tivoli, Temple of the Sibyl / Vesta",226
paintbrush,59
"Arundel, Arundel Castle",56
grimacing,56
dreaming,56
pop music,56
pavement,56
kissing,56
creativity,79
clock,89
desolation,55
ecology,55
chicken,55
Warwickshire,55
Body Art,55
make-up,55
warehouse,55
policeman / policewoman,55
well,57
feeding,103
easel,54
Salzburg - non-specific,92
train,58
grass,54
turret,54
pine,76
desk,53
sensuality,53
dove,53
anchor,53
wreath,53
jacket,53
Israel,54
physiognomy,52
"Rome, St Peter's Basilica",73
screen,52
Reduced stoneware,52
political belief,67
morality,71
despair,53
picnic,52
Brighton - non-specific,115
fragility,51
pig,51
philosophy,95
haystack,51
cell structure,51
refuse,51
St Michael's Mount,52
postcard,51
"Warhol, Andy",101
writing,53
buoy,50
Luxembourg,100
Channel Islands,50
waving,53
dockyard,50
Hertfordshire,93
American,71
Aphrodite / Venus,50
devil,49
